,Number of drawing techs above 5 %,Number of redrawing techs above 1 %,Average of top 5 drawing techs,Average of top 3 redrawing techs,Average of top 5 drawing techs (w/o text)
test,1,2,3,4,5
electronflowTrue,4,5,15.64102564,3.528380451,10.01314924
electronflowFalse,2,2,3.125763126,1.953601954,1.782661783
unitbasics,5,4,11.98290598,3.561253561,10.88888889
unitsub,4,2,22.90598291,3.703703704,10.38461538
unitkinetics,0,0,0.683760684,0.071225071,0.128205128
unitelim,3,5,10.81196581,5.745489079,4.743589744
unitother,1,0,2.094017094,0.142450142,0.256410256
uniteas,3,2,17.72079772,1.566951567,14.7008547
reactionreactants,5,5,18.20512821,6.552706553,9.487179487
reactionnone,3,3,10.69033531,2.224413763,7.98816568
reactionfull,4,7,17.56410256,10.11396011,7.692307692
reactionequation,0,0,0,0,0
rotationFalse,3,2,9.492877493,1.415004748,6.729344729
rotationTrue,5,7,17.35042735,7.777777778,9.316239316
drawingTrue,5,7,16.38395792,3.495507342,10.77580539
drawingFalse,1,1,1.819291819,1.465201465,0.671550672
q_number<src.exam_data.Question object at 0x7fafbae35d00>,4,4,22.39316239,13.96011396,10.68376068
q_number<src.exam_data.Question object at 0x7fafbd3feb80>,4,4,22.39316239,13.96011396,10.68376068
q_number<src.exam_data.Question object at 0x7fafbd200f10>,4,4,22.39316239,13.96011396,10.68376068
q_number<src.exam_data.Question object at 0x7fafbc03b280>,4,4,22.39316239,13.96011396,10.68376068
"q_numberInt64Index([0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18,
            19],
           dtype='int64', name='q_id')",4,4,22.39316239,13.96011396,10.68376068
q_number<src.exam_data.Question object at 0x7fafbca26580>,4,4,22.39316239,13.96011396,10.68376068
q_number1,3,3,11.36752137,3.418803419,6.495726496
q_number2,5,3,22.30769231,6.125356125,11.28205128
q_number3,2,1,21.70940171,2.421652422,21.02564103
q_number4,5,1,17.60683761,0.997150997,16.66666667
q_number5,0,0,0.769230769,0.142450142,0.256410256
q_number6,0,0,0.598290598,0,0
q_number7,4,7,30.94017094,20.08547009,14.87179487
q_number8,1,0,3.504273504,0,0.256410256
q_number9,1,1,1.88034188,1.13960114,0.256410256
q_number10,0,0,0,0,0
q_number11,0,0,0,0,0
q_number12,1,0,4.188034188,0.284900285,0.512820513
q_number13,2,2,23.5042735,1.709401709,9.743589744
q_number14,3,6,12.99145299,13.39031339,11.53846154
q_number15,1,1,4.444444444,4.131054131,1.794871795
q_number16,2,1,5.213675214,5.413105413,2.478632479
q_number17,3,2,9.743589744,2.279202279,6.239316239
q_number18,3,2,27.94871795,1.851851852,24.35897436
q_number19,3,1,15.55555556,0.997150997,13.58974359
q_number20,4,4,22.39316239,13.96011396,10.68376068
q_number<src.exam_data.Question object at 0x7fafbd5a33a0>,4,4,22.39316239,13.96011396,10.68376068
All,3,5,11.17521368,2.542735043,7.11965812
pic_typedrawing_line,4,2,16.84710351,2.025957582,12.01329535
pic_typedrawing_3d,5,6,21.85185185,12.53561254,12.33618234
pic_typedrawing_newman,0,0,,,
pic_typedrawing_chair,3,6,12.99145299,13.39031339,11.53846154
pic_typedrawing_structural,0,0,,,
pic_typedrawing_graph,1,0,3.504273504,0,0.256410256